question_text,option_a,option_b,option_c,option_d,correct_option,marks,difficulty,tags,explanation
"What is the capital of France?","Paris","London","Berlin","Madrid",A,1,easy,geography,"Paris has been the capital of France since the 12th century."
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn",B,1,easy,science|astronomy,"Mars appears red due to iron oxide (rust) on its surface."
"What is the value of $\int_0^1 x^2 \, dx$?","$\frac{1}{3}$","$\frac{1}{2}$","$1$","$0$",A,2,medium,calculus|integration,"Using the power rule: $\int x^2 dx = \frac{x^3}{3}$, evaluated from 0 to 1 gives $\frac{1}{3}$."
"Simplify: $E = mc^2$. If $m = 2$ kg and $c = 3 \times 10^8$ m/s, what is $E$ (in joules, to 1 s.f.)?","$1.8 \times 10^{17}$","$6 \times 10^8$","$9 \times 10^{16}$","$2 \times 10^8$",A,3,hard,physics|relativity,"$E = mc^2 = 2 \times (3\times10^8)^2 = 1.8\times10^{17}$ J."
"Which of the following is a root of the quadratic equation $x^2 - 5x + 6 = 0$?","$1$","$2$","$4$","$5$",B,2,medium,algebra|quadratics,"Factoring gives $(x-2)(x-3)=0$, so the roots are $x=2$ and $x=3$."
"What is the derivative of $\sin(x)$ with respect to $x$?","$\cos(x)$","$-\cos(x)$","$-\sin(x)$","$\tan(x)$",A,2,medium,calculus|derivatives,"The standard derivative rule: $\frac{d}{dx}\sin(x) = \cos(x)$."
"Who wrote the play 'Romeo and Juliet'?","Charles Dickens","William Shakespeare","Jane Austen","Mark Twain",B,1,easy,literature,"William Shakespeare wrote Romeo and Juliet around 1595."
"What is the SI unit of electric current?","Volt","Watt","Ampere","Ohm",C,1,easy,physics|units,"The Ampere (A) is the SI base unit for electric current."
"Evaluate $\lim_{x \to 0} \frac{\sin(x)}{x}$","$0$","$1$","$\infty$","Undefined",B,3,hard,calculus|limits,"This is a classic standard limit equal to 1, provable via the squeeze theorem or L'Hopital's rule."
"Which gas do plants primarily absorb for photosynthesis?","Oxygen","Nitrogen","Carbon Dioxide","Hydrogen",C,1,easy,biology,"Plants absorb $CO_2$ through stomata and use it with sunlight and water to produce glucose."
